,Value,Feature
507,0.0,f19 f64
508,0.0,f19 f65
509,0.0,f19 f66
510,0.0,f19 f68
511,0.0,f19 f69
512,0.0,f19 f73
513,0.0,f19 f74
514,0.0,f19 f75
515,0.0,f19 f76
516,0.0,f19 f78
517,0.0,f19 f79
518,0.0,f19 f82
519,0.0,f19 f83
520,0.0,f19 f84
521,0.0,f19 f85
522,0.0,f19 f86
523,0.0,f19 f87
524,0.0,f19 f88
525,0.0,f19 f89
526,0.0,f19 f90
527,0.0,f19 f91
528,0.0,f19 f92
529,0.0,f19 f95
530,0.0,f19 f96
531,0.0,f19 f97
532,0.0,f19^2
533,0.0,f1^2
534,0.0,f2 f11
535,0.0,f2 f12
536,0.0,f2 f18
537,0.0,f2 f19
538,0.0,f2 f20
539,0.0,f2 f24
540,0.0,f2 f27
541,0.0,f2 f30
542,0.0,f2 f31
543,0.0,f2 f33
544,0.0,f2 f34
545,0.0,f2 f39
546,0.0,f2 f43
547,0.0,f2 f44
548,0.0,f2 f45
549,0.0,f2 f47
550,0.0,f2 f5
551,0.0,f2 f50
552,0.0,f2 f53
553,0.0,f2 f58
554,0.0,f2 f6
555,0.0,f2 f60
556,0.0,f2 f62
557,0.0,f2 f64
558,0.0,f2 f65
559,0.0,f2 f67
560,0.0,f2 f7
561,0.0,f2 f70
562,0.0,f2 f71
563,0.0,f2 f72
564,0.0,f2 f77
565,0.0,f2 f78
566,0.0,f2 f79
567,0.0,f2 f88
568,0.0,f2 f89
569,0.0,f2 f9
570,0.0,f2 f90
571,0.0,f2 f91
572,0.0,f2 f92
573,0.0,f2 f94
574,0.0,f2 f96
575,0.0,f2 f98
576,0.0,f2 f99
577,0.0,f20 f23
578,0.0,f20 f24
579,0.0,f20 f25
580,0.0,f20 f26
581,0.0,f20 f28
582,0.0,f20 f29
583,0.0,f20 f30
584,0.0,f20 f31
585,0.0,f20 f34
586,0.0,f20 f35
587,0.0,f20 f38
588,0.0,f20 f39
589,0.0,f20 f41
590,0.0,f20 f42
591,0.0,f20 f43
592,0.0,f20 f45
593,0.0,f20 f46
594,0.0,f20 f48
595,0.0,f20 f49
596,0.0,f20 f50
597,0.0,f20 f51
598,0.0,f20 f52
599,0.0,f20 f55
600,0.0,f20 f56
601,0.0,f20 f57
602,0.0,f20 f58
603,0.0,f20 f60
604,0.0,f20 f62
605,0.0,f20 f66
606,0.0,f20 f67
607,0.0,f20 f70
608,0.0,f20 f74
609,0.0,f20 f75
610,0.0,f20 f78
611,0.0,f20 f79
612,0.0,f20 f81
613,0.0,f20 f82
614,0.0,f20 f83
615,0.0,f20 f84
616,0.0,f20 f85
617,0.0,f20 f87
618,0.0,f20 f88
619,0.0,f20 f91
620,0.0,f20 f92
621,0.0,f20 f93
622,0.0,f20 f94
623,0.0,f20 f95
624,0.0,f20 f96
625,0.0,f20 f98
626,0.0,f20 f99
627,0.0,f21 f22
628,0.0,f21 f26
629,0.0,f21 f30
630,0.0,f21 f31
631,0.0,f21 f32
632,0.0,f21 f34
633,0.0,f21 f37
